target_year,offset_pos,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs,model
8557,TRUE,266.8061545506928,486,-107.86024886380228,221.72049772760457,234.28529009685235,215.72049772760457,484,487,offset_sigma_acc95
8557,FALSE,205.73274128565004,512,-85.07996235585566,176.1599247117113,188.88075224722363,170.1599247117113,510,513,offset_sigma_acc95
9808,TRUE,285.6551820072372,511,-121.13995363413699,248.27990726827397,260.9948811433925,242.27990726827397,509,512,offset_sigma_acc95
9808,FALSE,266.9684634855375,487,-119.59912942984334,245.1982588596867,257.7692050772461,239.1982588596867,485,488,offset_sigma_acc95
11091,TRUE,265.83729438122515,512,-113.47897811055752,232.95795622111504,245.67878375662735,226.95795622111504,510,513,offset_sigma_acc95
11091,FALSE,276.57151596879703,486,-109.45189984635047,224.90379969270094,237.4685920619487,218.90379969270094,484,487,offset_sigma_acc95
1,FALSE,503.70061476978134,513,-196.08033815890292,400.16067631780584,417.1295693796265,392.16067631780584,510,514,offset_sigma_interact_acc95
1,TRUE,496.74307062775165,485,-182.003617039054,372.007234078108,388.75206857371,364.007234078108,482,486,offset_sigma_interact_acc95
1206,FALSE,449.43657699984925,508,-168.34902149325904,344.6980429865181,361.6278350527202,336.6980429865181,505,509,offset_sigma_interact_acc95
1206,TRUE,449.3569783382702,490,-158.098557376944,324.197114753888,340.9828912650661,316.197114753888,487,491,offset_sigma_interact_acc95
2413,FALSE,431.6672843740752,516,-171.85608189727785,351.7121637945557,368.7043352925894,343.7121637945557,513,517,offset_sigma_interact_acc95
2413,TRUE,374.0471544300244,482,-135.75695645949207,279.51391291898415,296.23397953359444,271.51391291898415,479,483,offset_sigma_interact_acc95
3661,FALSE,398.7246967553973,516,-154.45241780086238,316.90483560172476,333.89700709975847,308.90483560172476,513,517,offset_sigma_interact_acc95
3661,TRUE,338.35577395920495,482,-140.32213695105193,288.64427390210386,305.36434051671415,280.64427390210386,479,483,offset_sigma_interact_acc95
4854,FALSE,434.66388930729175,504,-186.81895895717844,381.6379179143569,398.5361516314583,373.6379179143569,501,505,offset_sigma_interact_acc95
4854,TRUE,369.582917914708,494,-152.78374657470016,313.5674931494003,330.3857241996751,305.5674931494003,491,495,offset_sigma_interact_acc95
6026,FALSE,298.8023301403964,504,-115.30355143570947,238.60710287141893,255.50533658852038,230.60710287141893,501,505,offset_sigma_interact_acc95
6026,TRUE,324.0237732722351,494,-145.14122782730317,298.28245565460634,315.1006867048811,290.28245565460634,491,495,offset_sigma_interact_acc95
7273,TRUE,225.20949725443054,485,-87.78708862097623,183.57417724195247,200.31901173755443,175.57417724195247,482,486,offset_sigma_interact_acc95
7273,FALSE,327.9903518791303,513,-136.99433087253837,281.98866174507674,298.9575548068974,273.98866174507674,510,514,offset_sigma_interact_acc95
8557,TRUE,266.8061545506928,486,-107.23605596516327,222.47211193032655,239.2251684226569,214.47211193032655,483,487,offset_sigma_interact_acc95
8557,FALSE,205.73274128565004,512,-82.96037593630304,173.92075187260608,190.88185525328916,165.92075187260608,509,513,offset_sigma_interact_acc95
9808,TRUE,285.6551820072372,511,-119.97134968363994,247.94269936727989,264.8959978674379,239.94269936727989,508,512,offset_sigma_interact_acc95
9808,FALSE,266.9684634855375,487,-118.7186902174337,245.4373804348674,262.19864205828,237.4373804348674,484,488,offset_sigma_interact_acc95
11091,TRUE,265.83729438122515,512,-112.27591968290757,232.55183936581514,249.51294274649823,224.55183936581514,509,513,offset_sigma_interact_acc95
11091,FALSE,276.57151596879703,486,-109.42543503394243,226.85087006788487,243.60392656021523,218.85087006788487,483,487,offset_sigma_interact_acc95
