CalBP,BP,Error
1881,1954,14
1882,1955,14
1883,1957,14
1884,1958,14
1885,1960,14
1886,1962,14
1887,1964,14
1888,1966,14
1889,1968,14
1890,1971,14
1891,1973,14
1892,1975,14
1893,1977,14
1894,1979,14
1895,1981,14
1896,1982,14
1897,1982,14
1898,1982,14
1899,1982,14
1900,1981,14
1901,1980,14
1902,1979,14
1903,1978,14
1904,1976,14
1905,1975,14
1906,1974,14
1907,1973,14
1908,1972,14
1909,1971,14
1910,1970,14
1911,1969,15
1912,1969,15
1913,1968,15
1914,1968,14
1915,1967,14
1916,1968,14
1917,1968,14
1918,1968,14
1919,1969,15
1920,1971,15
1921,1972,15
1922,1974,15
1923,1977,14
1924,1979,14
1925,1982,14
1926,1985,14
1927,1987,14
1928,1990,14
1929,1992,15
1930,1995,15
1931,1996,14
1932,1998,14
1933,1999,14
1934,2000,14
1935,2000,14
1936,2001,14
1937,2002,14
1938,2002,14
1939,2003,14
1940,2004,14
1941,2006,14
1942,2007,14
1943,2009,14
1944,2012,14
1945,2015,14
1946,2018,14
1947,2022,14
1948,2026,14
1949,2030,14
1950,2033,14
1951,2036,14
1952,2038,14
1953,2039,14
1954,2040,14
1955,2039,14
1956,2038,14
1957,2036,14
1958,2034,14
1959,2031,14
1960,2027,14
1961,2023,14
1962,2020,14
1963,2016,14
1964,2013,14
1965,2011,14
1966,2009,14
1967,2008,14
1968,2008,15
1969,2008,15
1970,2008,15
1971,2008,15
1972,2008,14
1973,2009,14
1974,2009,14
1975,2010,14
1976,2010,14
1977,2010,14
1978,2010,14
1979,2010,14
1980,2010,13
1981,2010,14
1982,2011,13
1983,2013,13
