"","sim_number","oxcal_target","agreement_model","SimNumber","Targets","Span","Samples","Phases","Errors","OffsetVaria","model_run","accuracy_68","accuracy_95","precision_68","precision_95","off_target_68","off_target_95","Offset"
"3654",1827,"TSB5478",76.45,1827,6898,121,16,1,26,14.5232326115239,1,1,1,70.5,141.5,0,0,0
"3655",1828,"TEB3815",78.8,1828,8676,177,30,1,20,21.4637168864834,1,1,1,27.5,116.5,0,0,0
"3656",1828,"TSB3935",78.8,1828,8676,177,30,1,20,21.4637168864834,1,1,1,44,111.5,0,0,0
"3657",1829,"TEB8318",131.15,1829,8579,164,32,1,10,13.200897924176,1,1,1,16.5,35.5,0,0,0
"3658",1829,"TSB8388",131.15,1829,8579,164,32,1,10,13.200897924176,1,0,1,15,34.5,3,0,0
"3659",1830,"TEB4842",81.2,1830,3253,78,32,1,19,8.52761704758461,1,1,1,15,31.5,0,0,0
"3660",1830,"TSB4934",81.2,1830,3253,78,32,1,19,8.52761704758461,1,1,1,51,92,0,0,0
"3661",1831,"TEB1253",94.25,1831,1733,161,23,1,20,21.5120124251794,1,1,1,50.5,113.5,0,0,0
"3662",1831,"TSB1414",94.25,1831,1733,161,23,1,20,21.5120124251794,1,0,1,36.5,91.5,10,0,0
"3663",1832,"TEB5799",84.65,1832,10879,147,6,1,23,11.0793302209615,1,1,1,120.5,257,0,0,0
"3664",1832,"TSB5870",84.65,1832,10879,147,6,1,23,11.0793302209615,1,1,1,92,199,0,0,0
"3665",1833,"TEB239",0,1833,4775,184,13,1,24,10.7650541363035,0,0,0,0,0,0,0,0
"3666",1833,"TSB316",0,1833,4775,184,13,1,24,10.7650541363035,0,0,0,0,0,0,0,0
"3667",1834,"TEB331",85.15,1834,8208,169,25,1,15,17.8085254334782,1,0,1,69.5,126.5,8.5,0,0
"3668",1834,"TSB445",85.15,1834,8208,169,25,1,15,17.8085254334782,1,1,1,50,121.5,0,0,0
"3669",1835,"TEB5892",98.7,1835,10329,140,16,1,22,13.2609452141179,1,1,1,66.5,207.5,0,0,0
"3670",1835,"TSB6069",98.7,1835,10329,140,16,1,22,13.2609452141179,1,1,1,112.5,253.5,0,0,0
"3671",1836,"TEB11234",98.3,1836,5761,107,5,1,17,18.1023449487756,1,1,1,66,169.5,0,0,0
"3672",1836,"TSB11434",98.3,1836,5761,107,5,1,17,18.1023449487756,1,1,1,127.5,276,0,0,0
"3673",1837,"TEB8657",90,1837,1641,152,23,1,27,25.160667706619,1,1,1,59.5,117.5,0,0,0
"3674",1837,"TSB8697",90,1837,1641,152,23,1,27,25.160667706619,1,1,1,72.5,138,0,0,0
"3675",1838,"TEB9318",74.5,1838,9190,129,40,1,23,10.9119421362258,1,0,1,56,125.5,11.5,0,0
"3676",1838,"TSB9402",74.5,1838,9190,129,40,1,23,10.9119421362258,1,1,1,54,109.5,0,0,0
"3677",1839,"TEB2141",63.5,1839,4687,74,11,1,9,11.3917212282934,1,1,1,65.5,123,0,0,0
"3678",1839,"TSB2330",63.5,1839,4687,74,11,1,9,11.3917212282934,1,1,1,67.5,149.5,0,0,0
"3679",1840,"TEB5720",106.5,1840,4483,83,34,1,19,2.6504202342655,1,1,1,58,143,0,0,0
"3680",1840,"TSB5906",106.5,1840,4483,83,34,1,19,2.6504202342655,1,1,1,91,157,0,0,0
"3681",1841,"TEB4063",75.35,1841,1417,164,31,1,23,23.4072679250056,1,0,1,52.5,146.5,2,0,0
"3682",1841,"TSB4150",75.35,1841,1417,164,31,1,23,23.4072679250056,1,1,1,33,98.5,0,0,0
"3683",1842,"TEB12075",88,1842,12123,200,21,1,20,3.23949272668664,1,1,1,102.5,231,0,0,0
"3684",1842,"TSB12239",88,1842,12123,200,21,1,20,3.23949272668664,1,0,0,67,188,44.5,3,0
"3685",1843,"TEB5161",95.05,1843,2056,135,24,1,29,5.05460562629346,1,1,1,139.5,265,0,0,0
"3686",1843,"TSB5306",95.05,1843,2056,135,24,1,29,5.05460562629346,1,1,1,114.5,258.5,0,0,0
