target_year,curve_uncert,offset_14c_age,measurement_error,offset_magnitude,accuracy_68,accuracy_95,precision_68,precision_95,off_target_68,off_target_95,sigma_curve_uncert
238,9,33.23481943,25.48281772,-35.73161354,1,1,44,108,NA,NA,27.025432447062638
238,9,72.96921412,10.12052231,-21.86324194,1,1,30,61,NA,NA,13.54344756061793
240,9,160.2249152,16.36878218,47.78316717,0,0,73,178,19,14,18.679856264336873
240,9,96.54897681,34.38628524,-0.731718424,1,1,103,191,NA,NA,35.544572196140464
241,9,162.1756852,27.20628668,4.561854014,0,0,119,230,17,7,28.656273918888086
241,9,164.4682188,24.609717,28.40930556,0,0,110,211,19,11,26.20378161296741
242,9,93.59237357,9.164945131,-11.11875274,1,1,46,96,NA,NA,12.845085412493006
242,9,118.3256703,26.15287288,-14.61814125,1,1,119,206,NA,NA,27.658140933140093
242,9,164.9789281,9.983983927,44.97817205,0,0,57,116,22,18,13.441723663823563
243,9,152.0990593,8.084001971,39.07903885,0,0,63,163,15,12,12.09756536940933
244,9,158.2713078,10.04077509,41.18488133,0,0,54,132,18,12,13.483959522631492
247,9,119.9369038,34.93637994,-15.78473006,1,1,143,227,NA,NA,36.077009899824496
248,9,128.7547103,34.35794963,-10.59948592,1,1,147,239,NA,NA,35.51716068012218
248,9,148.2413278,28.91035751,47.17826527,0,1,141,262,6,NA,30.278850231737888
250,9,118.5057397,34.74827141,-32.01470589,1,1,140,227,NA,NA,35.89487938387624
250,9,67.32170736,14.32802664,-40.22334001,0,1,32,80,10,NA,16.92017574957629
251,9,145.4146994,19.17389564,34.28835829,0,1,118,230,3,NA,21.1810829282549
254,9,170.725173,8.875549692,47.56431687,0,0,61,106,14,9,12.640228729542883
255,9,141.240716,31.34440283,13.22957904,1,1,151,257,NA,NA,32.61091211188844
255,9,124.644214,25.61770797,5.96054676,1,1,127,212,NA,NA,27.152660304953574
256,9,164.3067483,31.81409929,30.18821832,1,1,132,258,NA,NA,33.06262109443198
258,9,138.1400131,29.60793814,-10.40293451,1,1,147,249,NA,NA,30.945597439733923
258,9,175.6249416,18.2794469,40.12940221,0,1,75,146,10,NA,20.374939974633534
260,9,108.9656274,14.93164348,-24.16193476,0,0,93,142,5,2,17.434275924563845
263,9,114.9784143,19.08766481,-39.48591144,0,1,107,162,7,NA,21.10305541619299
263,9,147.5146261,30.93944746,-39.66057748,1,1,145,262,NA,NA,32.221877802668494
269,10,170.1264264,22.74302097,-3.607213194,1,1,95,191,NA,NA,24.844415928772804
269,10,142.29853,19.87875442,-9.6738694,1,1,122,232,NA,NA,22.252300494345963
270,10,178.8251743,19.06348489,13.7473681,1,1,77,145,NA,NA,21.527109795587016
271,10,177.6336854,19.99343532,3.370126733,1,1,78,155,NA,NA,22.354808339483107
272,10,205.1170479,30.50110375,-18.76002855,1,1,88,168,NA,NA,32.09855650910589
274,10,129.7326729,32.37724628,-43.55026467,0,1,142,228,9,NA,33.88637007228384
274,10,196.6215805,25.0789835,12.31063337,1,1,83,151,NA,NA,26.99917430947236
276,10,174.9035375,23.86963847,-33.3665035,1,1,88,198,NA,NA,25.879714849443456
277,10,238.4552804,18.7663837,14.39560519,0,0,27,52,9,3,21.264457603607614
278,10,198.2273163,9.566388626,9.347254108,1,1,53,87,NA,NA,13.838923055775046
279,10,171.7424494,31.71414391,-17.74324065,1,1,125,239,NA,NA,33.253374624903714
283,10,155.8077318,22.6666069,-47.823775,0,1,118,224,4,NA,24.774484219840534
283,10,173.4879426,22.31569145,-15.43935137,0,1,90,197,2,NA,24.4538357909675
284,10,222.5452124,10.25796515,16.60181636,0,1,19,40,1,NA,14.325705882036477
285,10,176.4666367,22.47749084,-13.03951812,0,1,84,192,4,NA,24.601577072665158
286,10,178.2076674,25.73280314,31.98262267,0,1,96,199,3,NA,27.607556165694817
287,10,190.9204445,10.39021365,-38.98071873,0,1,51,112,2,NA,14.420698308079478
287,10,191.1335155,32.05524928,-0.520178862,1,1,110,210,NA,NA,33.57884760385532
287,10,197.1409097,21.1867111,-26.25557098,1,1,73,130,NA,NA,23.42811830333079
292,10,264.8282602,19.00359605,22.82947337,1,1,24,80,NA,NA,21.474092829071395
294,10,220.0018716,20.23902247,6.77468474,1,1,39,99,NA,NA,22.57472105123704
299,10,247.1899461,11.24921382,-1.965307863,1,1,15,36,NA,NA,15.051405634294724
300,10,247.7037406,22.516053,-18.4954589,1,1,31,82,NA,NA,24.636814783953078
303,10,226.2384716,32.57016952,-21.75993442,1,1,74,172,NA,NA,34.07074907543914
305,10,188.4492337,25.0902309,-35.35596703,0,0,90,164,19,6,27.009622111671884
306,10,260.3384806,16.54175297,9.672189015,1,1,19,61,NA,NA,19.329500545034882
306,10,235.78281140000001,18.64603819,-46.04279413,0,1,26,54,3,NA,21.158325552437706
306,10,248.1776892,15.49409471,-32.52594832,1,1,16,38,NA,NA,18.440904828192405
307,10,261.1938522,14.26746625,-10.16729048,1,1,16,50,NA,NA,17.422990363163525
308,10,321.1652906,32.17845657,-6.826527254,0,1,96,164,6,NA,33.69648449359927
309,10,320.8097909,32.20721079,14.12794422,0,1,96,164,5,NA,33.72394441448824
310,10,272.3102049,10.18081141,-15.78683092,1,1,14,42,NA,NA,14.270561340255195
314,10,312.9746539,11.77100348,7.569839386,1,1,55,96,NA,NA,15.445275100372026
317,10,315.3435593,31.86224471,8.481452148,1,1,94,160,NA,NA,33.39464984035501
322,10,344.6864526,16.42154881,24.42939961,0,1,75,139,2,NA,19.226733090132928
323,10,384.3734245,23.57239582,47.55373318,0,0,60,126,12,2,25.605816618392655
324,10,367.7137068,8.549936145,40.54242773,0,0,40,84,11,6,13.156800830124984
326,10,350.4857966,30.48256523,33.18877178,1,1,100,165,NA,NA,32.08094111776032
326,10,338.1572348,25.05719968,-23.69404172,1,1,94,159,NA,NA,26.978940968900023
326,10,360.6275466,10.97941174,21.75240547,0,1,46,103,8,NA,14.850841126227492
327,10,288.7499186,15.59107509,-44.61115906,0,0,33,83,11,1,18.522462645717997
327,10,363.3358394,21.93852886,49.11132529,0,1,72,140,3,NA,24.110144100379262
328,10,284.8838045,15.99375295,-45.80450053,0,0,32,83,12,4,18.862665066888976
329,10,309.22941,18.18617684,-34.661039100000004,0,1,66,120,4,NA,20.754205069232412
329,10,251.1850607,22.05886644,-28.53165227,0,0,29,84,19,11,24.219694230476122
332,10,387.7407902,10.20271156,49.53655114,0,0,25,63,136,3,14.286193446000848
333,10,367.8630202,34.05823307,8.352464368,1,1,95,174,NA,NA,35.495960894874244
334,10,318.1980244,15.79188188,-28.01902366,0,1,73,121,7,NA,18.691803907378024
334,10,363.2555947,8.353484366,3.713856079,0,1,39,88,1,NA,13.02999236580768
334,10,346.0460533,8.872334901,-8.677578694,1,1,59,113,NA,NA,13.368557386476024
335,10,430.7925313,26.56461162,46.8478584,0,0,30,78,148,6,28.384477985713232
336,10,347.3908921,25.10451554,1.591456658,1,1,96,159,NA,NA,27.022892156431027
338,10,412.3079214,10.9963179,42.18982065,0,0,16,31,147,136,14.863344420347003
339,10,321.3095656,21.18213805,-3.357933462,0,1,86,138,9,NA,23.423982845990512
342,10,390.7741384,34.88242108,15.028339,1,1,77,160,NA,NA,36.28750887567826
343,10,395.4880204,20.38296503,39.09545457,0,1,39,94,117,NA,22.703860099423686
344,10,318.6652562,34.54761205,-1.729641901,0,1,97,165,13,NA,35.965782326501746
345,10,354.3719153,21.80854119,-19.426513280000002,1,1,79,147,NA,NA,23.991925075656738
350,10,380.4190645,19.29273704,20.54523297,1,1,56,110,NA,NA,21.730386616316515
350,10,368.5559684,25.50148693,20.12260312,1,1,83,145,NA,NA,27.39207614696193
352,10,418.1697104,27.98668484,44.39995245,0,1,39,101,119,NA,29.719598387822902
352,10,309.869803,26.5616387,-28.19260231,0,1,80,145,15,NA,28.381695693339708
353,10,372.2438159,18.0084731,28.63454395,1,1,60,117,NA,NA,20.59866751499775
354,10,276.2716517,28.61495004,-44.29533328,0,0,65,142,34,3,30.31196736920413
354,10,398.86284,32.58659657,22.77591915,0,1,69,147,3,NA,34.08645296911862
